       CRIM          ZN       INDUS       CHAS         NOX           RM          AGE           DIS        RAD         TAX     PTRATIO            B        LSTAT         MEDV
-0.377552    -0.487722   -0.180458   -0.272599  -0.0923875   0.402275     0.665875    -0.0916239    -0.637962  -0.619094   -0.0256767   0.427785    -0.472815     0.137918
-0.380824    -0.487722   -0.548149   -0.272599  -0.532942    0.185727    -1.01258      0.440219     -0.523001  -0.720062    0.529158    0.441052    -0.915764     0.268523
-0.416347     2.94584    -1.13325    -0.272599  -1.35358     0.00764417  -1.80558      1.33886      -0.637962  -0.423098   -1.08911     0.441052    -1.11902      0.105267
 1.4252      -0.487722    1.016      -0.272599   1.07379    -0.553671     0.953916    -0.896281      1.66125    1.53093     0.806576   -3.8265       1.64521     -1.54906
-0.232828    -0.487722   -0.437258   -0.272599  -0.144217   -0.26874      1.00726     -0.0167533    -0.637962  -0.601276    1.17647    -1.18814      1.07751     -0.983108
-0.416895    -0.487722   -0.984418   -0.272599  -0.973497   -0.385562    -0.713875     2.00537      -0.752922  -0.334008    0.159268    0.317593    -0.297598    -0.547758
-0.35836      0.370669   -1.0457     -0.272599   0.797361    1.75997      0.740552    -0.786851     -0.523001  -0.856665   -2.52243     0.347526    -0.755966     2.23848
 0.528127    -0.487722    1.016      -0.272599   1.25519    -1.27455      1.07838     -0.982561      1.66125    1.53093     0.806576    0.441052     1.149       -1.20078
-0.411266     2.08745    -1.37837    -0.272599  -1.24129     0.419371    -1.16194      3.2873       -0.637962   0.0164093  -0.0719129   0.154663    -1.00407      0.170569
-0.398252     0.456508   -0.769931   -0.272599  -1.06852    -0.968247     0.0577894    1.97747      -0.293081  -0.464673    0.297977    0.355859     0.81398     -0.43892
-0.418179     3.58964    -1.23392    -0.272599  -1.19723     2.49225     -1.30418      0.628893     -0.637962  -1.09424    -1.73642     0.371428    -1.36993      2.98946
 0.734469    -0.487722    1.016      -0.272599   1.60073    -0.0479175    0.996589    -0.759185      1.66125    1.53093     0.806576    0.349171     0.530829    -1.08106
-0.415229    -0.487722   -1.15221    -0.272599  -0.818007   -0.200356    -1.29351      0.988082     -0.637962   0.129256   -0.71922     0.130432    -0.499448    -0.297432
-0.387983    -0.487722   -0.211099   -0.272599   0.261784   -0.510932    -0.923682    -0.671859     -0.408041  -0.102376    0.344213    0.441052     0.131334     0.214104
 0.311246    -0.487722    1.016      -0.272599   1.60073     0.0803018    0.989476    -0.819081      1.66125    1.53093     0.806576   -0.423926     0.720064    -0.830735
-0.412482    -0.487722   -1.30688    -0.272599  -0.835284    1.22858     -0.51118      1.07774      -0.752922  -1.10612     0.113032    0.441052    -1.0265       1.4875
 1.99029     -0.487722    1.016      -0.272599   0.901021   -3.05822      1.11749     -1.24401       1.66125    1.53093     0.806576    0.148523     1.49803     -1.15725
 0.24185     -0.487722    1.016      -0.272599   0.244507   -0.243096     0.399171    -0.118435      1.66125    1.53093     0.806576    0.394782     0.326176    -0.373618
-0.412692    -0.487722   -1.15221    -0.272599  -0.818007    0.0689045   -1.82692      0.674814     -0.637962   0.129256   -0.71922     0.203235    -0.744752     0.00731319
-0.416167    -0.487722   -0.867691   -0.272599  -0.342899    0.0361373   -1.06948      1.26608      -0.523001  -1.09424     0.806576    0.358819    -0.827455    -0.199478
-0.348983    -0.487722   -0.720322   -0.272599  -0.412006    0.474932     0.434732    -0.248591     -0.17812   -0.601276   -0.488039    0.441052    -0.708307     0.823594
 0.323471    -0.487722    1.016      -0.272599   0.253146   -0.174712     1.02504     -0.755382      1.66125    1.53093     0.806576   -0.591133     1.60456     -1.00488
 0.77033     -0.487722    1.016      -0.272599   0.512296   -0.141945     1.00014     -0.772257      1.66125    1.53093     0.806576    0.252465     0.753706    -0.863387
 0.954118    -0.487722    1.016      -0.272599   1.41068     0.768412     0.281821    -0.951234      1.66125    1.53093     0.806576   -3.37948      1.41392     -1.53818
-0.207116    -0.487722    1.23194     3.6684     0.434551    2.16173      1.05349     -0.83396      -0.523001  -0.0311049  -1.73642     0.361122    -1.50449      2.98946
 1.13421     -0.487722    1.016      -0.272599   1.19472    -0.566493     0.929023    -0.956891      1.66125    1.53093     0.806576    0.441052     0.518214    -1.07018
-0.0802421   -0.487722    1.23194    -0.272599   0.434551   -0.261616     0.86857     -0.718588     -0.523001  -0.0311049  -1.73642    -1.2775      -0.398523     0.268523
-0.393896    -0.487722   -0.375976   -0.272599  -0.299707    0.17148      0.59831     -0.513562     -0.523001  -0.143951    1.13023    -3.13443     -0.28358     -0.428037
 0.120256    -0.487722    1.016      -0.272599   0.512296    0.990659    -0.034668    -0.599984      1.66125    1.53093     0.806576    0.197424    -0.139201     0.790943
-0.408543     0.799865   -0.905627   -0.272599  -1.09443     0.104521    -0.557408     1.54041      -0.408041  -0.642851   -0.857929    0.176263    -0.200878    -0.0362218
-0.417044    -0.487722   -1.30688    -0.272599  -0.835284    0.207096    -0.351157     1.07774      -0.752922  -1.10612     0.113032    0.410571    -1.04332      0.671222
-0.152812    -0.487722    1.23194    -0.272599   0.434551    0.0489593    0.978808    -0.805771     -0.523001  -0.0311049  -1.73642    -0.653301    -0.217699     0.137918
-0.396375    -0.487722    2.42257    -0.272599   0.469104   -1.69767      1.04637     -0.937638     -0.637962   1.79819     0.76034    -0.419321     2.38673     -1.57083
-0.407685     0.585267   -0.876445   -0.272599  -0.878475    0.244138    -0.0275559    1.63073      -0.17812   -0.73788     0.575395    0.441052    -0.830258    -0.0362218
 0.733504    -0.487722    1.016      -0.272599   1.19472    -0.616356     0.32805     -1.0908        1.66125    1.53093     0.806576   -0.202994     2.42738     -1.76674
-0.328535    -0.487722   -0.180458   -0.272599  -0.0923875  -0.231698    -0.560965    -0.548929     -0.637962  -0.619094   -0.0256767   0.441052    -0.935389    -0.0471055
-0.329258    -0.487722   -0.437258   -0.272599  -0.144217   -0.419753     0.466736     0.220028     -0.637962  -0.601276    1.17647     0.329764     0.282722    -0.547758
-0.381943    -0.487722   -0.720322   -0.272599  -0.412006    2.7957       0.0649016   -0.0680456    -0.17812   -0.601276   -0.488039    0.244242    -1.21994      2.80444
 0.869759    -0.487722    1.016      -0.272599   1.41068     0.180028     1.11749     -0.920382      1.66125    1.53093     0.806576   -0.415813     0.331782    -0.634828
-0.413843    -0.487722   -0.969827   -0.272599  -0.913029    0.492028    -0.443615     0.305499     -0.752922  -0.957633    0.0205596   0.390616    -0.858293     0.442663
 0.4723      -0.487722    1.016      -0.272599   1.19472    -0.765945     1.07838     -1.02758       1.66125    1.53093     0.806576    0.399387     1.01863     -1.5273
 0.567739    -0.487722    1.016      -0.272599   0.253146    0.0902744    0.623203    -0.828256      1.66125    1.53093     0.806576   -2.99573      0.699038    -0.87427
-0.386822    -0.487722   -0.0797801  -0.272599  -0.567496   -1.24321     -2.09007     -0.0986594    -0.637962  -0.779455    0.0667958  -0.0849083    2.36851      0.127034
-0.413791    -0.487722   -1.26602    -0.272599  -0.576134    0.990659    -0.361825    -0.459227     -0.752922  -1.27835    -0.303094    0.441052    -1.06715      1.59634
-0.353569    -0.487722   -0.720322   -0.272599  -0.412006    2.92392      0.168027     0.0206107    -0.17812   -0.601276   -0.488039    0.320554    -1.4274       2.08611
-0.41761     -0.487722   -1.34919    -0.272599  -0.316984    0.363809    -0.315597     1.17504      -0.982843   0.0817414  -1.18158     0.364959    -0.561125    -0.656595
-0.410976    -0.487722    0.406098   -0.272599  -1.01669    -0.392685    -0.934351     0.811768     -0.637962  -0.708183   -1.13535     0.441052    -0.31582     -0.0906405
-0.159567    -0.487722    1.23194    -0.272599   0.434551   -0.613507     0.825898    -0.652702     -0.523001  -0.0311049  -1.73642     0.421426    -0.142005     0.0181969
-0.385202    -0.487722   -0.548149   -0.272599  -0.532942    0.0389867   -1.41086      0.770506     -0.523001  -0.720062    0.529158    0.441052    -0.911559     0.0508482
 2.41827     -0.487722    1.016      -0.272599   1.25519    -2.32595      1.11749     -1.10658       1.66125    1.53093     0.806576    0.441052     2.19049     -1.30962
 0.0097086   -0.487722    1.016      -0.272599   1.41068    -1.88288      0.811674    -0.971057      1.66125    1.53093     0.806576   -0.445636     0.188805    -0.068873
-0.303859    -0.487722   -0.437258   -0.272599  -0.144217    0.554713     0.665875     0.211044     -0.637962  -0.601276    1.17647     0.258276    -0.0943458   -0.166827
-0.405253    -0.487722   -0.375976   -0.272599  -0.299707   -0.224575     0.591198    -0.795123     -0.523001  -0.143951    1.13023     0.34007      0.201421    -0.232129
-0.0925334   -0.487722    1.016      -0.272599  -0.196047   -0.744576    -1.00547      0.144159      1.66125    1.53093     0.806576    0.397414    -0.313017    -0.0797568
 0.340419    -0.487722    1.016       3.6684     0.659147    1.04195      1.02859     -1.23246       1.66125    1.53093     0.806576    0.387875    -1.35871      2.98946
-0.419242     1.87285    -1.29666    -0.272599  -1.43133     0.239864    -1.30418      1.66962      -0.982843  -0.642851   -1.459       0.41715     -0.619998    -0.0579893
-0.254683    -0.487722    1.23194    -0.272599   2.73235     0.321069     1.11749     -0.964592     -0.523001  -0.0311049  -1.73642     0.0837235   -0.737743     0.0834994
-0.41134      2.94584    -0.902709   -0.272599  -1.24129     1.23        -1.45353      0.628275     -0.637962  -0.969512    0.344213    0.441052    -1.27461      1.60722
-0.382646    -0.487722    1.569      -0.272599   0.598679    0.208521     1.07482     -0.94244      -0.637962   0.170831    1.26894     0.441052     0.383647    -0.493339
-0.402947    -0.487722   -0.164408   -0.272599  -0.0664725  -0.375589     0.498741    -0.498017     -0.408041   0.141134   -0.303094    0.414847    -0.329838    -0.362734
-0.410777     1.44366    -1.12303    -0.272599  -1.01669     1.28271     -1.05526      0.366822     -0.523001  -0.0608014  -1.50524     0.441052    -1.01809      1.34601
 0.878254    -0.487722    1.016      -0.272599   1.60073     0.490603     0.925467    -0.794029      1.66125    1.53093     0.806576   -2.70627      1.48822     -0.993992
-0.413289     1.22906    -1.44257    -0.272599  -1.0858      0.292576    -0.859673     2.37545      -0.982843  -0.434976    0.575395    0.441052    -0.935389     0.0399644
-0.412993     2.51665    -1.29812    -0.272599  -1.33631     0.0860004   -1.7238       1.91705      -0.523001  -0.298373   -1.69018     0.126813    -1.07696     -0.00357056
 0.455309    -0.487722    1.016      -0.272599   1.36749     0.188576     1.05704     -0.765365      1.66125    1.53093     0.806576   -0.575234     0.933128    -1.03753
-0.39819     -0.487722   -0.548149   -0.272599  -0.532942    0.208521    -1.91582      0.770506     -0.523001  -0.720062    0.529158    0.405747    -1.06154      0.224988
-0.389285    -0.487722   -0.211099   -0.272599   0.261784   -0.698987     0.0720137   -0.428946     -0.408041  -0.102376    0.344213    0.441052     0.202823    -0.460688
-0.355607    -0.487722    1.569      -0.272599   0.598679    0.0717538    1.05349     -0.800685     -0.637962   0.170831    1.26894     0.416601     0.60372     -0.482455
-0.413447    -0.487722    0.115738   -0.272599   0.158124    0.98496      0.797449    -0.773684     -0.982843  -0.803212    1.17647     0.441052    -0.983048     0.148802
-0.349351     0.370669   -1.0457     -0.272599   0.797361    3.44677      0.651651    -0.947906     -0.523001  -0.856665   -2.52243     0.362109    -1.05594      2.98946
-0.408212    -0.487722    2.42257    -0.272599   0.469104   -0.429726     1.07482     -0.916009     -0.637962   1.79819     0.76034     0.366604     0.759313    -0.972224
-0.410243     0.0487722  -0.476654   -0.272599  -0.265154   -0.388411    -0.0702286    0.839244     -0.523001  -0.577519   -1.50524     0.426798    -0.0312676    0.0399644
 3.96232     -0.487722    1.016      -0.272599   1.07379    -0.117726     0.360054    -0.918481      1.66125    1.53093     0.806576   -3.70435      0.261696    -1.26609
-0.406847     0.0487722  -0.476654   -0.272599  -0.265154   -0.392685     0.509409     1.15593      -0.523001  -0.577519   -1.50524     0.441052     0.0864784   -0.395385
-0.413229    -0.487722    0.115738   -0.272599   0.158124    0.439316     0.0186728   -0.625796     -0.982843  -0.803212    1.17647     0.387217    -0.418147    -0.0144543
-0.415626     0.714026    0.569516   -0.272599  -0.783454    0.224192    -0.532516    -0.0613904    -0.637962  -0.82103    -0.118149    0.420329    -0.62981      0.0399644
-0.383821    -0.487722   -0.720322   -0.272599  -0.437921    2.82277      0.34583     -0.428138     -0.17812   -0.601276   -0.488039    0.311124    -1.19331      2.42351
-0.407957    -0.487722   -0.375976   -0.272599  -0.299707   -0.127698    -0.504068    -0.483566     -0.523001  -0.143951    1.13023     0.403663     0.0486314   -0.0906405
 1.00473     -0.487722    1.016      -0.272599   0.253146   -0.637726    -0.315597    -0.854449      1.66125    1.53093     0.806576   -3.64043      0.425699    -1.34227
 0.739321    -0.487722    1.016      -0.272599   1.60073     0.285453     1.11749     -0.863576      1.66125    1.53093     0.806576    0.329544     0.868648    -0.776317
-0.404051    -0.487722   -0.616727   -0.272599  -0.921667   -0.16474     -2.20386      0.915493     -0.752922  -1.04078    -0.256858    0.292704    -0.959218     0.301174
-0.402544     0.585267   -0.876445   -0.272599  -0.878475   -0.198931    -1.40019      1.91087      -0.17812   -0.73788     0.575395    0.372854    -0.812036     0.0834994
 1.53593     -0.487722    1.016      -0.272599   1.25519    -1.43554      1.04993     -1.12612       1.66125    1.53093     0.806576    0.441052     2.54513     -1.66878
-0.413947    -0.487722    0.247057   -0.272599  -1.01669    -0.074986    -0.52896      0.579502     -0.523001  -0.0608014   0.113032    0.325926    -0.0438833   -0.145059
 0.60265     -0.487722    1.016      -0.272599   0.253146   -1.02523      0.0720137   -0.823122      1.66125    1.53093     0.806576   -3.87068      0.631754    -1.17902
-0.272321    -0.487722    1.23194     3.6684     0.434551   -0.0493422    0.854346    -0.949142     -0.523001  -0.0311049  -1.73642    -0.194662    -1.00267      0.486198
-0.41348     -0.487722   -1.26602    -0.272599  -0.576134   -0.187534     0.00800464  -0.244978     -0.752922  -1.27835    -0.303094    0.333711     0.0696575    0.769176
-0.407214    -0.487722   -0.375976   -0.272599  -0.299707    0.707152     0.0969061   -0.446344     -0.523001  -0.143951    1.13023     0.426579    -0.698495     0.431779
-0.357618     0.370669   -1.0457     -0.272599   0.175401    1.68874     -0.568077    -0.438786     -0.523001  -0.856665   -2.52243     0.368687    -1.33068      2.28202
-0.409837    -0.487722   -1.03403    -0.272599  -0.386091    0.187151     0.552081    -0.546077     -0.523001  -0.666608   -0.857929    0.425702    -0.506457     0.116151
 0.436817    -0.487722    1.016      -0.272599   1.07379    -0.130548     0.338718    -0.883922      1.66125    1.53093     0.806576   -2.85012      1.24291     -1.2552
-0.411786     0.928623   -1.30688    -0.272599  -0.714347    1.61751      0.118242    -0.330782     -0.293081  -1.10612    -0.0256767   0.441052    -0.866703     1.18276
-0.343303     0.370669   -1.0457     -0.272599   0.797361    1.49356      1.11749     -0.903412     -0.523001  -0.856665   -2.52243     0.291827    -0.681674     1.46574
-0.410435     1.44366    -1.12303    -0.272599  -1.01669     1.27274     -1.50332      1.27625      -0.523001  -0.0608014  -1.50524     0.37077     -1.37133      1.50927
-0.41412     -0.487722   -0.867691   -0.272599  -0.342899   -0.426877    -0.824113     0.483525     -0.523001  -1.09424     0.806576    0.441052    -0.408335    -0.384502
-0.327103    -0.487722   -0.437258   -0.272599  -0.144217   -1.18052     -1.13705      0.000692761  -0.637962  -0.601276    1.17647    -0.742112    -0.134996    -0.253897
-0.416608     2.73125    -1.19453    -0.272599  -1.09443     1.05334     -1.87671      0.76347      -0.752922  -0.927937   -0.0719129   0.427018    -1.49608      1.34601
-0.353214     0.370669   -1.0457     -0.272599   0.175401    2.86693     -0.0560044   -0.652892     -0.523001  -0.856665   -2.52243     0.305532    -0.730735     2.98946
-0.412817    -0.487722   -1.15221    -0.272599  -0.818007   -0.593562    -1.5211       0.674814     -0.637962   0.129256   -0.71922     0.282507    -0.376095    -0.35185
 0.686614    -0.487722    1.016      -0.272599   1.36749     0.631645     0.907687    -0.617477      1.66125    1.53093     0.806576   -3.83746      0.849024    -0.830735
-0.405687    -0.487722   -0.616727   -0.272599  -0.921667    0.69148     -2.33544      0.915493     -0.752922  -1.04078    -0.256858    0.315071    -1.09519      0.442663
 0.0259881   -0.487722    1.016      -0.272599   1.85988    -0.0479175    0.801005    -0.712836      1.66125    1.53093     0.806576   -0.0660496    0.215438    -0.286548
-0.415517     1.76555    -0.848722   -0.272599  -1.29312     0.399425    -1.62423      1.67432      -0.408041  -0.684426   -0.857929    0.164969    -0.440575     0.246756
-0.39269     -0.487722   -0.211099   -0.272599   0.261784   -0.378438    -0.116457    -0.658834     -0.408041  -0.102376    0.344213    0.441052     0.0374175   -0.145059
-0.410899    -0.487722    0.406098   -0.272599  -1.01669    -0.224575    -1.78425      0.811768     -0.637962  -0.708183   -1.13535     0.441052    -0.570937     0.148802
-0.415249    -0.487722    0.115738   -0.272599   0.158124   -0.234548     0.288933    -0.716639     -0.982843  -0.803212    1.17647     0.441052    -0.50085     -0.210362
-0.404325    -0.487722   -1.03403    -0.272599  -0.386091   -1.01526      0.708548    -0.56994      -0.523001  -0.666608   -0.857929    0.441052     0.285525     0.0617319
-0.415731     0.585267   -0.915841   -0.272599  -1.11171     0.63022     -1.24728      0.76328      -0.637962  -0.755697    0.251741    0.441052    -1.03211      0.595036
-0.398597    -0.487722   -0.616727   -0.272599  -0.921667   -0.710384    -1.2544       0.620527     -0.752922  -1.04078    -0.256858    0.441052     0.209831    -0.275664
-0.373733    -0.487722   -0.180458   -0.272599  -0.0923875   0.138713    -0.0488923   -0.124805     -0.637962  -0.619094   -0.0256767   0.422522    -0.321427     0.0617319
-0.417172     0.714026    0.569516   -0.272599  -0.783454   -0.104904    -1.41086     -0.0613904    -0.637962  -0.82103    -0.118149    0.434802    -0.903149     0.268523
 0.92684     -0.487722    1.016      -0.272599   1.25519    -1.77888      1.01081     -0.962643      1.66125    1.53093     0.806576    0.441052     1.82604     -1.39669
-0.415325     0.585267   -0.915841   -0.272599  -1.11171     0.476357     0.0649016    0.76328      -0.637962  -0.755697    0.251741    0.427127    -0.761573     0.148802
-0.414099     0.928623   -1.30688    -0.272599  -0.714347    1.35537     -0.977023     0.107889     -0.293081  -1.10612    -0.0256767   0.405747    -0.802223     1.47662
-0.0340361   -0.487722    1.23194     3.6684     2.73235    -1.25603      1.11749     -1.1758       -0.523001  -0.0311049  -1.73642     0.441052     1.98583     -0.993992
 0.122809    -0.487722    1.016      -0.272599   1.36749    -0.439699     0.687212    -0.577309      1.66125    1.53093     0.806576   -3.7958       0.891076    -1.07018
-0.412851    -0.487722   -1.26602    -0.272599  -0.576134    2.10902      0.523633    -0.501059     -0.752922  -1.27835    -0.303094    0.42636     -0.713914     1.87932
 9.93393     -0.487722    1.016      -0.272599   1.00468     0.973563     0.829454    -1.13069       1.66125    1.53093     0.806576    0.441052     0.638763    -1.3205
-0.408113     2.94584    -1.34627    -0.272599  -1.22401    -0.496685    -1.74513      3.22807      -0.637962  -0.440915    1.63883     0.212335    -0.99286     -0.210362
-0.35715     -0.487722    1.569      -0.272599   0.598679   -0.190383     1.04282     -1.0108       -0.637962   0.170831    1.26894     0.441052     0.81398     -0.515107
-0.400594    -0.487722   -0.375976   -0.272599  -0.299707   -0.639151     0.829454    -0.753005     -0.523001  -0.143951    1.13023     0.427566     0.842015    -0.330083
-0.410924     0.799865   -0.905627   -0.272599  -1.09443     0.279754    -1.78069      1.13844      -0.408041  -0.642851   -0.857929    0.249285    -0.882122     0.127034
-0.416442     2.94584    -0.902709   -0.272599  -1.24129     0.821124    -1.44642      0.628275     -0.637962  -0.969512    0.344213    0.441052    -1.30685      0.649454
-0.38097      0.456508   -0.769931   -0.272599  -1.06852    -0.251644    -1.1975       2.02529      -0.293081  -0.464673    0.297977    0.367371    -0.489636     0.192337
-0.401013    -0.487722   -0.548149   -0.272599  -0.532942    0.201398    -0.578745     0.35432      -0.523001  -0.720062    0.529158    0.441052    -0.764377     0.137918
 0.0941176   -0.487722    1.016      -0.272599   0.253146   -0.401233     0.921911    -0.596466      1.66125    1.53093     0.806576   -0.27832      1.21488     -0.373618
-0.406315    -0.487722   -1.20328    -0.272599  -0.947582    0.484905    -0.383162    -0.142536     -0.867883  -0.785394   -0.210622    0.0143191   -0.841472     0.638571
-0.409696    -0.487722    2.11761    -0.272599   0.227231   -0.461069     0.865014    -0.811998     -0.867883  -1.30805     0.297977    0.234812     0.739688    -0.221246
-0.357663     0.370669   -1.0457     -0.272599   0.797361    1.30836      0.470292    -0.800019     -0.523001  -0.856665   -2.52243     0.396098    -0.429361     1.22629
-0.305491    -0.487722   -0.437258   -0.272599  -0.144217   -0.671918     1.11749      0.142686     -0.637962  -0.601276    1.17647     0.415176     1.01303     -0.87427
-0.34723     -0.487722   -0.437258   -0.272599  -0.144217   -0.478164    -0.240919     0.433754     -0.637962  -0.601276    1.17647     0.441052    -0.615792    -0.232129
-0.400535     0.585267   -0.876445   -0.272599  -0.878475   -0.453945     0.882795     1.43726      -0.17812   -0.73788     0.575395    0.234703     0.250482    -0.711014
 0.722674    -0.487722    1.016      -0.272599   1.00468     0.725672     1.07482     -1.15849       1.66125    1.53093     0.806576    0.441052     1.20366     -1.00488
-0.417302     2.73125    -1.19453    -0.272599  -1.09443     0.442165    -1.66334      0.76347      -0.752922  -0.927937   -0.0719129   0.427127    -1.16808      0.899781
 0.109664    -0.487722    1.016      -0.272599   1.41068    -3.88025      0.687212    -1.03718       1.66125    1.53093     0.806576   -0.021644    -0.77559      0.540617
-0.407181     0.370669   -0.609431   -0.272599  -0.783454    0.36096     -0.351157     0.0582124    -0.752922  -1.10018     0.0667958   0.419781    -0.690084     0.203221
-0.404706    -0.487722   -0.0797801   3.6684    -0.567496   -0.314329    -0.336933     0.211139     -0.637962  -0.779455    0.0667958   0.270227     0.28132      0.203221
-0.359936    -0.487722   -0.720322    3.6684    -0.412006    0.493453     0.281821     0.167785     -0.17812   -0.601276   -0.488039    0.348403    -0.43637      0.279407
-0.41099     -0.487722   -1.20328    -0.272599  -0.947582    2.18737     -1.12638     -0.142536     -0.867883  -0.785394   -0.210622    0.404102    -1.27321      2.31467
-0.0162042   -0.487722    1.016       3.6684     1.41068     3.55504      0.509409    -0.898611      1.66125    1.53093     0.806576   -0.0232886   -1.03211     -0.068873
-0.398322     0.456508   -0.769931   -0.272599  -1.06852     0.617398    -1.81625      1.91643      -0.293081  -0.464673    0.297977    0.406405    -0.854088     0.399128
 0.396724    -0.487722    1.016      -0.272599   1.41068    -0.396959     0.95036     -0.912919      1.66125    1.53093     0.806576   -0.402327     0.427101    -0.906922
 0.981571    -0.487722    1.016      -0.272599   0.512296   -0.906987     0.676543    -0.876506      1.66125    1.53093     0.806576   -0.714043     0.202823    -0.188594
-0.418231     2.94584    -1.36816    -0.272599  -1.46588    -0.0778354   -1.3184       2.51668      -0.982843  -0.993269   -0.118149   -0.165277     0.0388193   -0.264781
-0.418341     3.16044    -1.01944    -0.272599  -1.0858      0.329617    -1.45353      2.25337      -0.637962  -0.339948   -0.256858    0.392041    -0.882122     0.0617319
 2.3315      -0.487722    1.016      -0.272599   1.00468     0.135863     0.982364    -1.14514       1.66125    1.53093     0.806576    0.441052     1.54709     -1.02664
-0.390359    -0.487722    1.569      -0.272599   0.598679   -0.842877     0.975252    -0.953944     -0.637962   0.170831    1.26894     0.388533     0.63596     -0.689247
-0.416259     0.585267   -0.915841   -0.272599  -1.11171     0.0247401   -1.29351      0.76328      -0.637962  -0.755697    0.251741    0.441052    -0.83166      0.246756
 0.256909    -0.487722    1.016      -0.272599   1.36749     0.325343     0.758333    -0.472252      1.66125    1.53093     0.806576    0.407282    -0.33124     -0.253897
-0.391193    -0.487722   -0.0797801  -0.272599  -0.567496   -0.714658     0.146691     0.266139     -0.637962  -0.779455    0.0667958   0.359148     0.757911    -0.00357056
-0.309291    -0.487722   -0.437258   -0.272599  -0.144217   -0.338548     0.719216     0.312963     -0.637962  -0.601276    1.17647    -0.551442     0.648575    -0.841619
-0.414347    -0.487722   -1.12741    -0.272599  -0.567496    1.1317      -0.194691    -0.180898     -0.867883  -0.82103    -0.303094    0.431842    -0.974637     0.671222
 1.10107     -0.487722    1.016      -0.272599   0.218592   -0.814384    -0.422278    -0.461746      1.66125    1.53093     0.806576    0.441052     0.295337    -0.264781
